iter	Passed	Remaining
543	30260	444788
544	30319	444779
545	30381	444817
546	30448	444927
547	30508	444930
548	30575	445042
549	30583	444299
550	30651	444421
551	30715	444477
552	30786	444646
553	30849	444697
554	30915	444791
555	30978	444844
556	31037	444827
557	31101	444897
558	31161	444901
559	31219	444878
560	31274	444808
561	31330	444752
562	31391	444784
563	31455	444840
564	31515	444844
565	31578	444887
566	31646	444999
567	31705	444993
568	31768	445033
569	31829	445059
570	31888	445048
571	31947	445029
572	32009	445054
573	32092	445385
574	32160	445492
575	32222	445515
576	32283	445538
577	32361	445777
578	32424	445818
579	32497	446006
580	32566	446115
581	32631	446186
582	32693	446212
583	32758	446281
584	32821	446314
585	32899	446553
586	32963	446602
587	33034	446748
588	33098	446795
589	33157	446786
590	33217	446782
591	33281	446824
592	33343	446847
593	33409	446925
594	33471	446940
595	33533	446968
596	33595	446978
597	33654	446960
598	33718	447015
599	33779	447020
600	33842	447053
601	33903	447058
602	33964	447055
603	34027	447084
604	34089	447103
605	34157	447203
606	34223	447270
607	34287	447322
608	34350	447350
609	34414	447385
610	34480	447454
611	34543	447483
612	34600	447435
613	34656	447379
614	34719	447405
615	34783	447447
616	34843	447436
617	34907	447477
618	34969	447488
619	35033	447528
620	35048	446942
621	35108	446924
622	35178	447041
623	35246	447132
624	35309	447162
625	35379	447273
626	35442	447293
627	35506	447342
628	35566	447323
629	35639	447472
630	35701	447489
631	35754	447380
632	35812	447344
633	35874	447361
634	35939	447398
635	36006	447481
636	36068	447481
637	36132	447515
638	36196	447550
639	36257	447548
640	36319	447568
641	36381	447572
642	36444	447586
643	36512	447680
644	36573	447668
645	36632	447641
646	36692	447625
647	36751	447596
648	36813	447608
649	36874	447598
650	36935	447590
651	37002	447664
652	37072	447761
653	37134	447774
654	37197	447792
655	37212	447232
656	37270	447187
657	37335	447226
658	37398	447247
659	37465	447316
660	37529	447347
661	37603	447497
662	37665	447494
663	37725	447478
664	37790	447519
665	37859	447600
666	37924	447649
667	37990	447696
668	38052	447700
669	38119	447763
670	38177	447722
671	38238	447711
672	38300	447713
673	38359	447682
674	38422	447691
675	38482	447675
676	38544	447675
677	38552	447053
678	38617	447088
679	38679	447095
680	38751	447206
681	38812	447199
682	38840	446809
683	38899	446780
684	38965	446819
685	39026	446809
686	39088	446819
687	39146	446765
688	39216	446867
689	39280	446882
690	39341	446880
691	39404	446885
692	39469	446927
693	39530	446913
694	39563	446578
695	39625	446585
696	39686	446571
697	39744	446524
698	39803	446488
699	39865	446489
700	39925	446466
701	39983	446430
702	40045	446422
703	40108	446430
704	40170	446435
705	40233	446442
706	40289	446376
707	40349	446350
708	40412	446359
709	40489	446520
710	40557	446590
711	40620	446597
712	40687	446651
713	40747	446624
714	40808	446613
715	40871	446617
716	40936	446646
717	40999	446657
718	41063	446675
719	41126	446683
720	41183	446623
721	41248	446651
722	41331	446871
723	41391	446843
724	41453	446837
725	41521	446898
726	41591	446979
727	41656	447005
728	41719	447014
729	41786	447062
730	41855	447123
731	41921	447157
732	41984	447165
733	42048	447176
734	42112	447193
735	42171	447157
736	42232	447136
737	42293	447123
738	42355	447106
739	42413	447065
740	42467	446966
741	42527	446940
742	42590	446942
743	42655	446964
744	42726	447050
745	42794	447107
746	42862	447161
747	42927	447176
748	42994	447225
749	43058	447238
750	43120	447226
751	43181	447205
752	43246	447224
753	43308	447217
754	43368	447181
755	43430	447172
756	43504	447288
757	43571	447330
758	43639	447377
759	43698	447332
760	43729	447004
761	43792	447004
762	43854	446993
763	43918	447002
764	43977	446961
765	44038	446942
766	44097	446901
767	44157	446865
768	44216	446823
769	44276	446791
770	44342	446822
771	44401	446777
772	44462	446751
773	44523	446727
774	44588	446744
775	44648	446712
776	44708	446681
777	44771	446674
778	44834	446671
779	44898	446679
780	44959	446654
781	45021	446645
782	45081	446612
783	45137	446537
784	45195	446480
785	45253	446431
786	45313	446401
787	45375	446386
788	45441	446410
789	45502	446381
790	45563	446365
791	45633	446421
792	45696	446420
793	45760	446420
794	45821	446403
795	45883	446384
796	45948	446402
797	46012	446399
798	46073	446374
799	46136	446370
800	46202	446395
801	46262	446359
802	46325	446354
803	46388	446349
804	46448	446305
805	46510	446289
806	46573	446283
807	46642	446336
808	46712	446394
809	46774	446381
810	46848	446477
811	46912	446477
812	46975	446468
813	47040	446477
814	47104	446477
815	47165	446450
816	47225	446421
817	47286	446390
818	47351	446397
819	47414	446390
820	47473	446339
821	47504	446033
822	47563	445991
823	47626	445974
824	47688	445962
825	47751	445947
826	47811	445917
827	47873	445896
828	47938	445901
829	48002	445904
830	48067	445914
831	48134	445942
832	48198	445940
833	48260	445913
834	48323	445905
835	48385	445888
836	48444	445837
837	48526	446004
838	48601	446098
839	48671	446158
840	48731	446112
841	48799	446147
842	48863	446145
843	48940	446265
844	49004	446264
845	49067	446250
846	49129	446228
847	49190	446199
848	49252	446172
849	49315	446161
850	49378	446148
851	49439	446115
852	49500	446081
853	49558	446030
854	49626	446057
855	49689	446044
856	49773	446221
857	49834	446187
858	49894	446146
859	49956	446124
860	50021	446127
861	50093	446193
862	50159	446204
863	50221	446180
864	50286	446187
865	50348	446157
866	50407	446105
867	50460	446009
868	50514	445908
869	50606	446152
870	50665	446101
871	50727	446079
872	50784	446005
873	50846	445981
874	50908	445957
875	50967	445904
876	51034	445929
877	51098	445918
878	51162	445910
879	51224	445889
880	51289	445883
881	51350	445848
882	51412	445829
883	51475	445813
884	51537	445787
885	51597	445745
886	51657	445694
887	51715	445640
888	51781	445649
889	51840	445595
890	51903	445580
891	51971	445600
892	52031	445561
893	52094	445543
894	52155	445509
895	52215	445467
896	52273	445404
897	52335	445376
898	52395	445331
899	52452	445262
900	52508	445181
901	52563	445101
902	52626	445077
903	52687	445048
904	52744	444977
905	52804	444934
906	52864	444887
907	52925	444852
908	52982	444781
909	53044	444760
910	53107	444741
911	53170	444721
912	53228	444662
913	53284	444578
914	53343	444527
915	53401	444466
916	53450	444336
917	53511	444301
918	53575	444289
919	53636	444252
920	53699	444232
921	53760	444198
922	53822	444163
923	53885	444147
924	53945	444100
925	54006	444069
926	54066	444022
927	54125	443967
928	54185	443927
929	54247	443898
930	54309	443867
931	54369	443825
932	54429	443778
933	54493	443763
934	54553	443722
935	54614	443681
936	54679	443676
937	54746	443692
938	54805	443640
939	54870	443633
940	54931	443593
941	54992	443556
942	55055	443536
943	55118	443516
944	55176	443455
945	55237	443417
946	55302	443409
947	55368	443417
948	55431	443397
949	55488	443325
950	55548	443281
951	55609	443242
952	55670	443200
953	55730	443157
954	55791	443119
955	55853	443086
956	55915	443061
957	55977	443025
958	56033	442952
959	56088	442864
960	56148	442816
961	56208	442775
962	56268	442727
963	56329	442687
964	56388	442638
965	56450	442604
966	56510	442561
967	56572	442528
968	56632	442481
969	56697	442474
970	56757	442428
971	56820	442407
972	56884	442392
973	56945	442348
974	57009	442335
975	57074	442326
976	57134	442280
977	57195	442241
978	57249	442146
979	57309	442103
980	57370	442060
981	57432	442033
982	57493	441995
983	57567	442055
984	57650	442182
985	57714	442167
986	57778	442152
987	57843	442138
988	57918	442207
989	57980	442177
990	58043	442147
991	58111	442160
992	58175	442147
993	58244	442168
994	58303	442114
995	58367	442094
996	58428	442051
997	58488	442004
998	58539	441887
999	58599	441841
1000	58658	441782
1001	58719	441744
1002	58781	441714
1003	58842	441666
1004	58903	441633
1005	58962	441577
1006	59026	441553
1007	59091	441541
1008	59161	441571
1009	59227	441567
1010	59295	441577
1011	59360	441570
1012	59420	441514
1013	59483	441494
1014	59545	441461
1015	59612	441463
1016	59678	441453
1017	59755	441536
1018	59814	441476
1019	59877	441451
1020	59932	441365
1021	59994	441330
1022	60056	441293
1023	60115	441238
1024	60177	441203
1025	60239	441165
1026	60300	441126
1027	60360	441080
1028	60421	441037
1029	60481	440984
1030	60542	440943
1031	60601	440888
1032	60662	440846
1033	60718	440766
1034	60787	440782
1035	60847	440733
1036	60907	440683
1037	60967	440635
1038	61033	440624
1039	61094	440581
1040	61153	440526
1041	61208	440441
1042	61265	440371
1043	61326	440328
1044	61376	440208
1045	61434	440140
1046	61496	440109
1047	61566	440128
1048	61626	440081
1049	61685	440025
1050	61748	439996
1051	61811	439965
1052	61874	439935
1053	61929	439849
1054	61994	439836
1055	62057	439811
1056	62122	439792
1057	62185	439768
1058	62248	439736
1059	62313	439724
1060	62375	439687
1061	62439	439661
1062	62503	439640
1063	62575	439672
1064	62644	439690
1065	62711	439684
1066	62778	439684
1067	62844	439678
1068	62907	439643
1069	62976	439657
1070	63045	439672
1071	63106	439623
1072	63170	439601
1073	63233	439575
1074	63293	439523
1075	63357	439500
1076	63420	439470
1077	63482	439428
1078	63542	439382
1079	63602	439329
1080	63658	439249
1081	63720	439214
1082	63783	439180
1083	63845	439142
1084	63908	439116
1085	63970	439078
1086	64030	439025
1087	64100	439042
1088	64156	438964
1089	64157	438508
1090	64218	438461
1091	64281	438435
1092	64345	438407
1093	64411	438398
1094	64476	438382
1095	64532	438300
1096	64594	438268
1097	64653	438209
1098	64717	438185
1099	64786	438192
1100	64845	438136
1101	64862	437794
1102	64925	437761
1103	64987	437726
1104	65054	437718
1105	65115	437677
1106	65177	437640
1107	65239	437596
1108	65305	437586
1109	65365	437535
1110	65428	437505
1111	65488	437455
1112	65552	437431
1113	65614	437392
1114	65677	437357
1115	65738	437314
1116	65801	437279
1117	65861	437233
1118	65926	437210
1119	65988	437175
1120	66048	437121
1121	66110	437080
1122	66168	437015
1123	66238	437033
1124	66300	436991
1125	66360	436941
1126	66420	436888
1127	66482	436851
1128	66546	436825
1129	66604	436763
1130	66660	436684
1131	66716	436604
1132	66772	436525
1133	66830	436463
1134	66902	436486
1135	66958	436410
1136	67018	436358
1137	67080	436314
1138	67142	436278
1139	67200	436211
1140	67255	436131
1141	67317	436089
1142	67381	436061
1143	67437	435985
1144	67501	435957
1145	67560	435900
1146	67626	435890
1147	67690	435857
1148	67750	435808
1149	67813	435774
1150	67875	435734
1151	67937	435693
1152	67995	435630
1153	68045	435515
1154	68111	435497
1155	68173	435462
1156	68236	435429
1157	68297	435383
1158	68366	435384
1159	68431	435365
1160	68493	435326
1161	68555	435285
1162	68621	435270
1163	68685	435241
1164	68744	435185
1165	68806	435147
1166	68869	435112
1167	68934	435091
1168	68998	435062
1169	69059	435016
1170	69121	434975
1171	69182	434927
1172	69240	434864
1173	69300	434813
1174	69363	434774
1175	69427	434750
1176	69492	434729
1177	69557	434707
1178	69616	434645
1179	69677	434599
1180	69740	434563
1181	69808	434561
1182	69868	434509
1183	69936	434505
1184	69999	434469
1185	70066	434459
1186	70132	434445
1187	70191	434383
1188	70252	434337
1189	70316	434308
1190	70376	434255
1191	70440	434223
1192	70500	434170
1193	70558	434106
1194	70619	434060
1195	70680	434013
1196	70743	433978
1197	70804	433931
1198	70863	433871
1199	70923	433816
1200	70983	433762
1201	71044	433713
1202	71112	433712
1203	71166	433618
1204	71223	433548
1205	71286	433513
1206	71348	433472
1207	71413	433449
1208	71474	433397
1209	71532	433335
1210	71598	433315
1211	71658	433260
1212	71718	433208
1213	71777	433147
1214	71840	433111
1215	71900	433060
1216	71960	433005
1217	72017	432932
1218	72081	432900
1219	72141	432846
1220	72202	432799
1221	72267	432775
1222	72332	432755
1223	72395	432716
1224	72462	432706
1225	72523	432657
1226	72584	432609
1227	72652	432601
1228	72716	432571
1229	72781	432546
1230	72842	432497
1231	72897	432413
1232	72957	432359
1233	73019	432315
1234	73080	432267
1235	73138	432203
1236	73207	432199
1237	73270	432166
1238	73333	432127
1239	73391	432063
1240	73457	432044
1241	73525	432036
1242	73588	431999
1243	73646	431935
1244	73709	431896
1245	73769	431839
1246	73828	431784
1247	73893	431753
1248	73953	431701
1249	74012	431639
1250	74075	431601
1251	74130	431521
1252	74190	431465
1253	74252	431421
1254	74311	431364
1255	74370	431300
1256	74428	431235
1257	74485	431164
1258	74552	431148
1259	74612	431096
1260	74671	431032
1261	74732	430982
1262	74792	430933
1263	74851	430867
1264	74914	430832
1265	74968	430745
1266	75034	430724
1267	75095	430674
1268	75156	430622
1269	75221	430597
1270	75279	430531
1271	75337	430465
1272	75396	430406
1273	75456	430349
1274	75520	430317
1275	75583	430279
1276	75641	430214
1277	75702	430167
1278	75763	430114
1279	75832	430110
1280	75893	430060
1281	75950	429988
1282	76011	429939
1283	76070	429883
1284	76127	429809
1285	76194	429793
1286	76260	429771
1287	76325	429743
1288	76389	429711
1289	76451	429669
1290	76511	429612
1291	76571	429559
1292	76630	429497
1293	76693	429462
1294	76757	429425
1295	76812	429346
1296	76871	429281
1297	76931	429226
1298	76990	429164
1299	77055	429141
1300	77114	429078
1301	77175	429030
1302	77235	428975
1303	77295	428916
1304	77355	428862
1305	77412	428792
1306	77465	428698
1307	77523	428629
1308	77581	428566
1309	77640	428504
1310	77700	428449
1311	77766	428427
1312	77822	428351
1313	77884	428307
1314	77946	428260
1315	78011	428231
1316	78072	428182
1317	78136	428152
1318	78203	428135
1319	78269	428110
1320	78331	428066
1321	78393	428021
1322	78453	427964
1323	78515	427921
1324	78575	427864
1325	78634	427803
1326	78689	427721
1327	78757	427707
1328	78817	427653
1329	78876	427590
1330	78941	427563
1331	79004	427527
1332	79067	427488
1333	79128	427436
1334	79190	427393
1335	79249	427331
1336	79310	427281
1337	79372	427233
1338	79432	427180
1339	79497	427149
1340	79553	427075
1341	79616	427034
1342	79675	426973
1343	79732	426903
1344	79793	426848
1345	79857	426816
1346	79921	426780
1347	79979	426716
1348	80042	426674
1349	80103	426627
1350	80172	426617
